processes,matrix_size,elapsed_time_sec,user_cpu_sec,sys_cpu_sec,max_rss_kb,#context_switch
1,2000,102.426949,101.977872,0.402779,143080,193
4,2000,27.570351,26.877340,2.649031,108128,139
9,2000,34.939513,30.278808,10.822678,102600,377
16,2000,18.392033,17.469197,4.405875,100556,544
25,2000,26.101528,16.641598,5.171437,99608,492233
1,500,1.276199,1.258186,0.017911,69920,10
4,500,0.722720,0.671413,0.189709,68012,149
9,500,1.136338,1.070999,0.380477,68652,275
16,500,0.813689,0.728618,0.271931,69568,438
25,500,1.348068,0.798120,0.390974,69644,48946
1,1000,11.648382,11.574534,0.062872,84552,35
4,1000,3.517900,3.320451,0.680918,75920,52
9,1000,2.873353,2.510333,0.844821,74936,167
16,1000,4.187677,3.990548,1.230105,75644,644
25,1000,6.290397,3.536872,1.442984,75740,147696
1,2000,103.247756,102.792423,0.406553,143100,228
4,2000,28.011854,27.040922,2.861451,108304,375
9,2000,21.323805,19.233875,5.316597,102268,260
16,2000,20.829571,19.998597,5.004378,100312,629
25,2000,24.757257,14.996110,4.622203,99312,416716
1,500,1.262151,1.249176,0.012868,69828,8
4,500,0.700616,0.656414,0.156840,68048,140
9,500,0.748256,0.645986,0.243042,68448,210
16,500,1.310147,1.127489,0.460864,69304,746
25,500,1.320671,0.792069,0.360144,69412,46058
1,1000,11.623586,11.561248,0.051848,84364,46
4,1000,3.522074,3.351390,0.693724,75888,225
9,1000,4.568835,4.493261,1.547749,75120,438
16,1000,3.118317,2.919775,0.871180,75640,516
25,1000,4.763961,2.887028,1.093338,75704,106462
1,2000,102.235849,101.837739,0.348678,143208,333
4,2000,26.998470,26.396408,2.497390,108460,92
9,2000,24.788707,24.150935,6.890828,102628,208
16,2000,19.315011,18.495503,4.603531,101176,487
25,2000,28.157794,16.110207,5.695958,99448,453905
