MATRIX_SIZE,PROCS,ITERATION,RANK,PEAK_HEAP_BYTES
2000,49,0,15,5374818
2000,49,0,3,5343444
2000,49,0,8,5341334
2000,49,0,20,5341224
2000,49,0,18,5341224
2000,49,0,2,5343276
2000,49,0,23,5341356
2000,49,0,7,5341502
2000,49,0,19,5341356
2000,49,0,10,5374838
2000,49,0,9,5374816
2000,49,0,17,5341356
2000,49,0,16,5341336
2000,49,0,5,5343444
2000,49,0,6,5343444
2000,49,0,22,5341224
2000,49,0,1,5343276
2000,49,0,24,5407984
2000,49,0,4,5343276
2000,49,0,14,5374818
2000,49,0,0,37850506
2000,49,0,13,5374838
2000,49,0,21,5408300
2000,49,0,11,5374818
2000,64,0,5,5116680
2000,64,0,21,5083796
2000,64,0,1,5182244
2000,64,0,15,5083348
2000,64,0,24,5116998
2000,64,0,25,5117110
2000,64,0,14,5083348
2000,64,0,10,5083348
2000,64,0,17,5083796
2000,64,0,6,5116680
2000,64,0,13,5083368
2000,64,0,0,37741757
2000,64,0,3,5149546
2000,64,0,27,5117110
2000,64,0,23,5083796
2000,64,0,19,5083796
2000,64,0,11,5083368
2000,64,0,29,5150424
2000,64,0,22,5083796
2000,64,0,9,5083346
2000,64,0,2,5149378
2000,64,0,28,5150312
2000,64,0,12,5083368
2000,64,0,31,5216940
2000,64,0,26,5116998
2000,64,0,18,5083796
2000,64,0,8,5083178
2000,64,0,16,5083648
2000,64,0,30,5183626
2000,64,0,20,5083796
2000,64,0,4,5116512
2000,64,0,7,5116680
500,1,1,0,8123688
500,4,1,0,6763489
500,4,1,1,4976337
500,9,1,4,4463526
500,9,1,1,4432154
500,9,1,3,4497324
500,9,1,2,4496820
500,9,1,0,6397740
500,16,1,1,4243352
500,16,1,4,4340144
500,16,1,6,4241578
500,16,1,5,4340312
500,16,1,2,4243352
500,16,1,7,4340312
500,16,1,3,4243520
500,16,1,0,6381451
500,25,1,12,4295624
500,25,1,7,4197036
500,25,1,10,4163576
500,25,1,11,4262310
500,25,1,4,4212104
500,25,1,6,4197036
500,25,1,3,4211936
500,25,1,2,4211936
500,25,1,8,4310074
500,25,1,9,4262308
500,25,1,5,4197036
500,25,1,1,4211768
500,25,1,0,6460883
500,36,1,6,4128680
500,36,1,0,6638251
500,36,1,10,4128682
500,36,1,8,4128532
500,36,1,9,4128700
500,36,1,14,4194668
500,36,1,4,4188502
500,36,1,17,4294080
500,36,1,3,4164104
500,36,1,15,4194668
500,36,1,7,4128700
500,36,1,11,4128702
500,36,1,2,4163936
500,36,1,16,4261128
500,36,1,12,4194500
500,36,1,5,4130642
500,36,1,13,4194668
500,36,1,1,4130622
500,49,1,18,4181526
500,49,1,16,4115540
500,49,1,12,4149042
500,49,1,20,4181526
500,49,1,4,4183016
500,49,1,11,4149022
500,49,1,2,4117480
500,49,1,10,4149042
500,49,1,22,4181526
500,49,1,7,4115706
500,49,1,13,4149022
500,49,1,23,4181526
500,49,1,21,4182056
500,49,1,6,4117648
500,49,1,14,4149022
500,49,1,3,4117648
500,49,1,9,4149040
500,49,1,5,4117648
500,49,1,24,4280938
500,49,1,8,4115538
500,49,1,15,4149042
500,49,1,17,4115560
500,49,1,0,6899422
500,49,1,19,4181526
500,49,1,1,4117480
500,64,1,8,4185702
500,64,1,18,4109838
500,64,1,15,4109390
500,64,1,4,4219324
500,64,1,26,4213634
500,64,1,9,4109388
500,64,1,19,4109838
500,64,1,13,4109390
500,64,1,10,4109390
500,64,1,11,4109390
500,64,1,5,4142274
500,64,1,7,4142254
500,64,1,24,4252322
500,64,1,12,4185872
500,64,1,27,4197234
500,64,1,31,4330088
500,64,1,25,4213746
500,64,1,16,4186152
500,64,1,6,4142254
500,64,1,29,4230548
500,64,1,22,4109838
500,64,1,3,4175140
500,64,1,30,4280262
500,64,1,1,4287160
500,64,1,14,4109390
500,64,1,20,4186320
500,64,1,2,4175140
500,64,1,17,4109726
500,64,1,23,4109858
500,64,1,21,4109858
500,64,1,28,4230548
500,64,1,0,7139089
1000,1,1,0,23123692
1000,4,1,1,7976342
1000,4,1,0,15013494
1000,9,1,2,5835500
1000,9,1,1,5770834
1000,9,1,4,5802206
1000,9,1,0,13358206
1000,9,1,3,5836004
1000,16,1,3,4993531
1000,16,1,0,12876998
1000,16,1,7,4991589
1000,16,1,6,4991589
1000,16,1,1,4993363
1000,16,1,2,4993363
1000,16,1,5,4991589
1000,16,1,4,4991421
1000,25,1,0,12753767
1000,25,1,6,4677072
1000,25,1,9,4643590
1000,25,1,5,4677072
1000,25,1,8,4643570
1000,25,1,11,4643592
1000,25,1,2,4645512
1000,25,1,7,4677052
1000,25,1,3,4645680
1000,25,1,4,4645512
1000,25,1,12,4676906
1000,25,1,10,4643460
1000,25,1,1,4645512
1000,36,1,13,4462051
1000,36,1,4,4463803
1000,36,1,8,4461881
1000,36,1,10,4462051
1000,36,1,17,4528679
1000,36,1,7,4462049
1000,36,1,2,4497285
1000,36,1,1,4463971
1000,36,1,16,4528511
1000,36,1,12,4462031
1000,36,1,6,4462049
1000,36,1,3,4497453
1000,36,1,9,4462049
1000,36,1,15,4462051
1000,36,1,14,4462031
1000,36,1,5,4463991
1000,36,1,11,4462051
1000,36,1,0,12921486
1000,49,1,6,4361916
1000,49,1,13,4393310
