processes,matrix_size,elapsed_time_sec,user_cpu_sec,sys_cpu_sec,max_rss_kb,#context_switch
1,1000,6.920678,6.848874,0.060497,79432,22
4,1000,2.911898,2.822814,0.936004,80128,45
9,1000,2.198406,2.082323,0.958336,78472,37
16,1000,1.921424,1.799752,0.995984,77312,78
1,2000,54.104945,53.700221,0.359584,138444,130
4,2000,17.040997,16.748135,3.772614,110896,76
9,2000,10.614122,10.363097,3.649095,104764,68
16,2000,9.661128,9.378556,4.368924,102744,153
1,500,1.092782,1.071846,0.020828,64264,9
4,500,0.648421,0.595713,0.277654,72504,43
9,500,0.642845,0.567789,0.323118,72080,62
16,500,0.564315,0.485421,0.296635,71672,111
1,1000,6.953199,6.880712,0.062619,79392,18
4,1000,2.885697,2.788734,0.897365,79992,24
9,1000,2.176408,2.048551,0.967299,77596,59
16,1000,1.935549,1.799840,0.976265,77832,62
1,2000,52.390677,52.003850,0.339550,137672,120
4,2000,16.857764,16.352614,3.716931,111644,94
9,2000,10.539432,10.266359,3.599569,105668,95
16,2000,8.424287,8.153187,3.569161,103736,103
1,500,1.084597,1.061535,0.022917,64668,9
4,500,0.653055,0.597332,0.254404,71460,35
9,500,0.576951,0.508517,0.293090,71740,38
16,500,0.570918,0.480121,0.295263,72444,64
1,1000,6.932669,6.870297,0.053616,79352,23
4,1000,2.894122,2.801785,0.928470,78852,43
9,1000,2.174498,2.072212,0.970612,77840,30
16,1000,1.999233,1.857232,1.021759,76760,201
1,2000,54.140858,53.717116,0.377541,137788,139
4,2000,16.700069,16.390589,3.601856,112148,61
9,2000,10.659131,10.350656,3.597502,105680,52
16,2000,8.587425,8.288937,3.697399,102104,196
1,500,1.084864,1.060832,0.023924,64764,11
4,500,0.654093,0.605434,0.251224,72120,34
9,500,0.603663,0.522240,0.300472,71740,56
16,500,0.571144,0.519402,0.305331,72220,155
1,1000,6.937861,6.867753,0.060591,79248,21
4,1000,2.871150,2.775957,0.944758,79904,45
9,1000,2.151958,2.048221,0.922438,77848,73
16,1000,1.950146,1.804163,0.981015,77212,107
1,2000,53.859357,53.454404,0.357613,138288,155
4,2000,16.730465,16.449113,3.611993,111576,67
9,2000,10.622654,10.337302,3.600634,104856,60
16,2000,8.727385,8.457647,3.804193,102388,93
1,500,1.087527,1.066527,0.020859,64688,7
4,500,0.657191,0.604520,0.251590,72188,38
9,500,0.587059,0.523967,0.293346,70180,97
16,500,0.561445,0.473666,0.299444,70648,49
1,1000,6.928103,6.858949,0.059616,79404,23
4,1000,2.879198,2.773660,0.917047,80008,25
9,1000,2.157558,2.042427,0.968315,76792,78
16,1000,1.957723,1.839865,0.999106,77092,117
1,2000,52.544690,52.110083,0.387553,137776,82
4,2000,16.640525,16.355309,3.605828,112360,75
9,2000,10.563011,10.281832,3.615525,105600,52
16,2000,8.381180,8.103892,3.540440,103076,103
1,500,1.084940,1.067982,0.016839,64504,10
4,500,0.646556,0.593803,0.248010,72768,36
9,500,0.582962,0.515238,0.301224,71812,54
16,500,0.559357,0.490404,0.286250,71376,136
1,1000,6.944268,6.876035,0.059602,79624,20
4,1000,2.879720,2.786156,0.898315,78752,40
9,1000,2.160741,2.055567,0.966895,77596,85
16,1000,1.956770,1.809401,1.007349,76148,68
1,2000,54.415901,53.997166,0.370728,137956,134
4,2000,16.708038,16.387381,3.553111,111516,54
9,2000,10.611479,10.365017,3.614718,104732,59
16,2000,8.401698,8.128307,3.556634,102452,127
1,500,1.088237,1.066233,0.021901,65016,6
4,500,0.643430,0.596798,0.247691,71984,37
9,500,0.576537,0.512448,0.290257,72124,42
16,500,0.562702,0.502483,0.292926,71424,103
1,1000,6.952116,6.884372,0.057783,79840,17
4,1000,2.884096,2.793474,0.891218,79120,22
9,1000,2.182602,2.089751,0.956554,77408,62
16,1000,1.950968,1.797876,1.013936,76852,55
1,2000,54.019961,53.578261,0.395509,137940,134
4,2000,16.624293,16.327120,3.448844,112028,73
9,2000,10.816807,10.550714,3.723414,104224,79
16,2000,8.354527,8.072371,3.552706,102168,81
1,500,1.085529,1.064578,0.020831,64648,8
4,500,0.649188,0.604600,0.256303,71992,36
9,500,0.575799,0.511866,0.302213,71576,43
16,500,0.573602,0.499750,0.317874,71512,178
1,1000,6.904885,6.827942,0.067559,79340,20
4,1000,2.888725,2.807221,0.933815,79452,41
9,1000,2.192999,2.077976,0.962565,77232,77
16,1000,1.942882,1.789910,0.982171,77192,218
1,2000,54.140288,53.719042,0.373594,137672,150
4,2000,16.706245,16.460695,3.578796,112384,61
9,2000,10.714963,10.402554,3.705114,105140,54
16,2000,8.412229,8.125622,3.565758,103136,65
1,500,1.088142,1.066126,0.021890,65016,7
4,500,0.650677,0.602947,0.251269,72200,37
9,500,0.582473,0.515851,0.303462,71040,44
16,500,0.547020,0.477031,0.282792,71692,143
1,1000,6.918815,6.842247,0.066580,79120,15
4,1000,2.917239,2.822771,0.926821,80100,34
9,1000,2.158799,2.057019,0.945471,78104,37
16,1000,1.927142,1.795848,0.986114,77624,148
1,2000,54.444153,54.037841,0.360536,138200,78
4,2000,16.604257,16.318673,3.517524,112096,79
9,2000,10.615030,10.338040,3.582712,104212,76
16,2000,8.736142,8.454985,3.779655,102276,104
1,500,1.081310,1.060335,0.020803,65024,9
4,500,0.651122,0.598374,0.260292,71164,40
